"","id","name","date_from","date_to","lat_end","lon_end","species_count","taxon_count","record_count","imis_dasid","date_last_harvested"
"194",2571,"haddock",1986,1987,61.617,10.667,218,298,6110,2749,"9/29/2016 8:13:42"
"195",34,"haddock",0,0,71.32,-43.93,99,124,785,4139,"9/29/2016 18:15:46"
"196",2672,"haddock",0,0,51.324,-57.015,64,70,87708,4310,"11/12/2015 22:23:03"
"197",32,"haddock",0,0,85.808,0,1360,1750,43352,4126,""
"198",2538,"haddock",1993,2008,54.803,1.993,113,128,163508,2764,"9/29/2016 4:16:07"
"199",3128,"haddock",1902,2005,74.55,79.583,173,185,384,2779,"9/29/2016 8:39:52"
"200",3089,"haddock",1970,2010,55.741,-4.892,146,150,1054,2999,"9/28/2016 22:35:42"
"201",3917,"haddock",2003,2009,61.756,9.988,45,59,47901,4418,"9/28/2016 22:41:41"
"202",2339,"haddock",1995,1999,42.3,-65.848,166,342,15307,3952,"5/22/2011 0:00:00"
"203",2328,"haddock",1899,2010,48.96,-51.4,123,333,66620,4110,"9/29/2011 0:00:00"
"204",2537,"haddock",1997,2010,51.832,-1.278,191,204,260027,2759,"9/28/2016 23:57:18"
"205",2684,"haddock",1970,2014,49.146,-58.483,135,203,78218,4322,"9/29/2016 17:28:47"
"206",4356,"haddock",1950,2012,81,179.43,110,114,23562,5564,"9/28/2016 15:31:20"
"207",2499,"haddock",1991,2011,58.631,24.433,114,133,768651,2760,"9/29/2016 6:58:10"
"208",4300,"haddock",2004,2007,51.992,4.082,67,71,16225,4660,"9/29/2016 9:15:07"
"209",2319,"haddock",1875,2009,88.85,165.895,1090,2255,169236,3943,"2/17/2011 0:00:00"
"210",1435,"haddock",1948,2008,44.867,-63.333,723,1033,460938,3406,"5/21/2009 0:00:00"
"211",1986,"haddock",1964,2004,60.503,8.393,1509,2188,129635,640,"9/28/2016 17:40:00"
"212",2490,"haddock",1999,2011,58.07,-13.083,69,73,44906,2767,"9/28/2016 18:52:36"
"213",2415,"haddock",1826,2011,80,180,6972,8902,75785,2442,"11/3/2010 0:00:00"
"214",3460,"haddock",1893,1959,73.258,-44.25,2,3,1951,4973,"9/29/2016 18:47:48"
"215",3927,"haddock",1987,1987,71.983,18.85,11,12,891,4439,"9/29/2016 7:42:47"
"216",2393,"haddock",1980,1991,63.25,12.5,159,251,133374,2144,"9/29/2016 9:20:38"
"217",2517,"haddock",1985,2011,60.883,-1.844,150,163,415764,2766,"9/29/2016 1:34:38"
"218",237,"haddock",1970,2015,47.933,-56.471,272,376,163619,4130,"9/29/2016 18:02:42"
"219",103,"haddock",1903,2014,60.863,1.962,1659,2698,401614,746,"9/28/2016 18:37:33"
"220",721,"haddock",1804,2005,80.2,180,11716,11829,505852,4354,"3/16/2009 0:00:00"
"221",3083,"haddock",1970,2012,54.621,0.154,316,404,2463,3182,"9/28/2016 16:53:39"
"222",2673,"haddock",1902,2012,81.142,4.616,1325,1715,9875,4311,"9/29/2016 18:54:11"
"223",2566,"haddock",1920,1997,57,2,4,4,284,3154,"9/28/2016 19:05:05"
"224",1695,"haddock",1768,2008,85,180,5575,6535,22148,82,"9/29/2016 9:02:58"
"225",2814,"haddock",1971,2011,57.69,-40.74,365,701,540848,4757,"9/29/2016 18:26:23"
"226",3511,"haddock",1643,2015,79.964,179.803,4475,6521,85257,5006,"4/25/2016 6:26:53"
"227",1576,"haddock",1978,2011,80.167,60,88,95,727047,2159,"9/28/2016 17:50:35"
"228",2670,"haddock",1967,2006,77.09,-41,445,782,113378,4308,"9/29/2016 17:26:50"
"229",2561,"haddock",1893,2005,57.3,5.55,3,3,277,3149,"9/29/2016 9:16:34"
"230",2542,"haddock",2004,2013,52.223,-55.405,101,138,25560,4246,"9/29/2016 17:58:12"
"231",3016,"haddock",1953,1999,66.333,-46.333,19,21,271456,4923,"9/29/2016 18:59:37"
"232",36,"haddock",0,0,44.85,-65.4,2145,2294,2381,4107,"8/15/2007 0:00:00"
"233",2417,"haddock",1891,2011,86.017,179.756,4043,6034,104844,4017,"10/6/2011 0:00:00"
"234",2556,"haddock",1761,1920,55.964,16.036,13,14,2113,3144,"9/28/2016 17:08:40"
"235",2500,"haddock",1965,2011,61.883,12.879,210,296,2960513,2763,"9/28/2016 19:31:45"
"236",2419,"haddock",1975,2010,60.22,174.784,761,788,2874,4015,"9/28/2016 22:38:13"
"237",230,"haddock",1903,1909,41.75,-69.79,1305,1433,46294,3436,"2/6/2008 0:00:00"
"238",1693,"haddock",2000,2009,44.776,-66.928,125,147,38661,3829,"9/15/2010 0:00:00"
"239",38,"haddock",1970,1995,69.53,-6.57,266,273,466736,4106,"8/10/2007 0:00:00"
"240",30,"haddock",1903,2000,56,55,101,148,4089,4132,"10/31/2011 0:00:00"
"241",2557,"haddock",1753,1990,65.38,22.732,40,43,11389,3145,"9/28/2016 22:48:37"
"242",3067,"haddock",1786,2008,57.75,-4.891,134,140,1135,4536,"9/29/2016 4:01:03"
"243",2546,"haddock",1905,2006,90,180,2886,4401,3181610,4099,""
"244",2530,"haddock",1987,2011,60.752,8.5,169,198,390947,2761,"9/29/2016 6:18:07"
"245",3414,"haddock",2007,2013,41.436,-70.868,191,219,37190,4883,"4/24/2016 23:45:09"
"246",3427,"haddock",1980,1991,75.367,31.217,36,44,5615,4443,"9/29/2016 8:27:41"
"247",2493,"haddock",2003,2008,56.49,-3.459,173,208,169548,2762,"9/29/2016 0:35:54"
"248",2671,"haddock",1833,2012,52.11,-55.4,140,185,27546,4309,"9/29/2016 18:23:22"
"249",268,"haddock",1840,2007,80.2,179.9,8131,9636,114408,1984,"7/17/2008 0:00:00"
"250",2954,"haddock",2007,2009,48.66,-49.17,12,16,1540,4942,"9/29/2016 17:31:23"
"251",3429,"haddock",2007,2013,79.95,42.686,108,229,5269,4444,"9/28/2016 17:24:56"
"252",29,"haddock",1905,2015,85.808,145.833,1995,2747,139692,4108,"9/29/2016 17:20:50"
"253",97,"haddock",1911,2014,60.675,0.464,1714,2478,93315,690,"9/28/2016 16:37:38"
"254",3433,"haddock",2006,2011,72.425,28.036,809,1224,7338,4540,"9/28/2016 18:35:12"
"255",1627,"haddock",1973,1986,67.475,-7.767,401,408,7138,2430,"9/29/2016 12:21:33"
"256",1987,"haddock",1954,2000,60.858,7.055,2882,4076,584476,621,"9/29/2016 2:16:14"
"257",129,"John Dory",1829,2005,60.467,179.14,1779,2205,15136,3442,"7/7/2006 0:00:00"
"258",4287,"John Dory",1978,1979,-9.775,141.017,473,533,10571,5567,"9/30/2016 13:37:02"
